Gemeindeschlüsselnummer;Gemeindename;€/m²
71435009254;Langenhahn;5,04
71435009284;Pottum;5,64
71435009288;Rotenhain;5,74
71435009289;Rothenbach;4,89
71435009293;Stahlhofen am Wiesensee;5,92
71435009298;Stockum-Püschen;4,8
71435009307;Weltersburg;4,98
71435009308;Westerburg, Stadt;5,54
71435009312;Willmenrod;4,57
71435009314;Winnen;5,31
71435010003;Bannberscheid;5,76
71435010010;Dernbach (Westerwald);5,8
71435010012;Ebernhahn;5,46
71435010028;Helferskirchen;5,25
71435010042;Leuterod;5,62
71435010047;Mogendorf;5,15
71435010049;Moschheim;5,78
71435010060;Ötzingen;5,15
71435010070;Siershahn;6,17
71435010073;Staudt;5,61
71435010081;Wirges, Stadt;6,03
71435010275;Niedersayn;4,69
72110000000;Trier, Stadt;7,92
72310134134;Wittlich, Stadt;6,41
72310502502;Morbach;5,04
72315001008;Bernkastel-Kues, Stadt;6,13
72315001012;Brauneberg;5,73
72315001016;Burgen (Landkreis Bernkastel-Wittlich);5,2
72315001030;Erden;5,52
72315001040;Gornhausen;4,38
72315001041;Graach an der Mosel;5,28
72315001056;Hochscheid;4,48
72315001066;Kesten;4,98
72315001070;Kleinich;3,92
72315001071;Kommen;4,54
72315001075;Lieser;5,85
72315001076;Lösnich;5,63
72315001077;Longkamp;5,14
72315001081;Maring-Noviand;5,23
72315001086;Minheim;5,33
72315001087;Monzelfeld;5,72
72315001090;Mülheim an der Mosel;5,5
72315001092;Neumagen-Dhron;5,18
72315001105;Piesport;5,52
72315001125;Ürzig;5,04
72315001126;Veldenz;5,24
72315001133;Wintrich;4,65
72315001136;Zeltingen-Rachtig;5,47
72315006006;Berglicht;4,48
72315006017;Burtscheid;3,98
72315006018;Deuselbach;5,55
72315006019;Dhronecken;3,76
72315006032;Etgert;5,09
72315006035;Gielert;4,54
72315006042;Gräfendhron;5,17
72315006054;Hilscheid;4,51
72315006058;Horath;5,23
72315006064;Immert;4,35
72315006078;Lückenburg;4,87
72315006079;Malborn;4,94
72315006083;Merschbach;4,72
72315006093;Neunkirchen (Landkreis Bernkastel-Wittlich);3,82
72315006112;Rorodt;4,53
72315006115;Schönberg (Landkreis Bernkastel-Wittlich);4,78
72315006122;Talling;4,61
72315006123;Thalfang;5,71
72315006202;Breit;3,76
72315006203;Büdlich;4,25
72315006204;Heidenburg;4,66
72315008001;Altrich;5,19
72315008003;Arenrath;5,58
72315008007;Bergweiler;5,61
72315008009;Bettenfeld;5,36
72315008010;Binsfeld;5,69
72315008013;Bruch;5,99
72315008021;Dierfeld;
72315008022;Dierscheid;7,39
72315008023;Dodenburg;6,12
72315008024;Dreis;5,91
72315008025;Eckfeld;4,53
72315008026;Eisenschmitt;5,49
72315008031;Esch (Landkreis Bernkastel-Wittlich);5,58
72315008036;Gipperath;4,63
72315008037;Gladbach;5,57
72315008044;Greimerath;6,57
72315008046;Großlittgen;5,38
72315008049;Hasborn;5,21
72315008050;Heckenmünster;5,1
72315008051;Heidweiler;7,16
72315008053;Hetzerath;6,75
72315008062;Hupperath;5,71
72315008065;Karl;4,72
72315008069;Klausen;5,52
72315008074;Laufeld;4,68
72315008080;Manderscheid, Stadt;5,43
72315008082;Meerfeld;6,08
72315008085;Minderlittgen;5,58
72315008091;Musweiler;4,91
72315008095;Niederöfflingen;4,99
72315008096;Niederscheidweiler;4,64
72315008100;Oberöfflingen;5,13
72315008101;Oberscheidweiler;4,24
72315008103;Osann-Monzel;5,26
72315008104;Pantenburg;4,08
72315008107;Platten;5,7
72315008108;Plein;7,01
72315008111;Rivenich;5,83
72315008113;Salmtal;5,8
72315008114;Schladt;4,79
72315008116;Schwarzenborn;3,57
72315008117;Sehlem (Landkreis Bernkastel-Wittlich);5,36
72315008127;Wallscheid;4,98
72315008503;Landscheid;5,83
72315008504;Niersbach;5,69
72315009004;Bausendorf;5,54
72315009005;Bengel;4,62
72315009014;Burg (Mosel);4,3
72315009020;Diefenbach;5,58
72315009029;Enkirch;4,75
72315009033;Flußbach;5,56
72315009057;Hontheim;4,17
72315009067;Kinderbeuern;5,29
72315009068;Kinheim;5,8
72315009072;Kröv;5,23
72315009110;Reil;4,68
72315009120;Starkenburg;4,33
72315009124;Traben-Trarbach, Stadt;5,55
72315009132;Willwerscheid;8,19
72315009206;Lötzbeuren;4,77
72315009501;Irmenach;4,15
72320018018;Bitburg, Stadt;7,07
72325001201;Arzfeld;5,59
72325001211;Dackscheid;4,24
72325001212;Dahnen;6,89
72325001213;Daleiden;5,17
72325001214;Dasburg;6,27
72325001217;Eilscheid;
72325001220;Eschfeld;5,1
72325001221;Euscheid;3,82
72325001229;Großkampenberg;4,97
72325001233;Hargarten;6,19
72325001234;Harspelt;5,72
72325001240;Herzfeld;
72325001245;Irrhausen;6,43
72325001246;Jucken;4,48
72325001247;Kesfeld;4,65
72325001248;Kickeshausen;5,81
72325001249;Kinzenburg;5,99
72325001253;Krautscheid;4,5
72325001254;Lambertsberg;5,07
72325001255;Lascheid;5,04
72325001258;Lauperath;4,79
72325001259;Leidenborn;3,91
72325001260;Lichtenborn;5,22
72325001261;Lierfeld;4,28
72325001262;Lünebach;5,1
72325001263;Lützkampen;4,76
72325001264;Manderscheid;4,23
72325001267;Mauel;
72325001270;Merlscheid;
72325001277;Niederpierscheid;4,86
72325001285;Oberpierscheid;4,64
72325001287;Olmscheid;5,21
72325001291;Pintesfeld;3,32
72325001293;Plütscheid;5,3
72325001294;Preischeid;3,89
72325001297;Reiff;
72325001298;Reipeldingen;
72325001301;Roscheid;6,29
72325001309;Sengerich;5,47
72325001310;Sevenig (Our);4,74
72325001315;Strickscheid;5,3
72325001322;Waxweiler;5,24
72325001333;Üttfeld;4,7
72325005001;Affler;8,45
72325005002;Alsdorf;6
72325005003;Altscheid;5,11
72325005004;Ammeldingen an der Our;
72325005005;Ammeldingen bei Neuerburg;4,08
72325005008;Bauler (Landkreis Eifelkreis Bitburg-Prüm);5,39
72325005011;Berkoth;4,65
72325005012;Berscheid;
72325005016;Biesdorf;5,75
72325005019;Bollendorf;7,7
72325005022;Burg;
72325005025;Dauwelshausen;7
72325005028;Echternacherbrück;9,24
72325005031;Emmelbaum;4,69
72325005033;Ernzen;5,87
72325005037;Ferschweiler;6,27
72325005038;Fischbach-Oberraden;4,09
72325005040;Geichlingen;6,17
72325005041;Gemünd;6,1
72325005042;Gentingen;7,23
72325005047;Heilbach;4,24
72325005049;Herbstmühle;6,14
72325005053;Holsthum;5,73
72325005054;Hommerdingen;6,52
72325005056;Hütten (Landkreis Eifelkreis Bitburg-Prüm);5,35
72325005059;Hüttingen bei Lahr;5,14
72325005063;Irrel;7,19
72325005064;Karlshausen;4,93
72325005065;Kaschenbach;5,4
72325005066;Keppeshausen;6,13
72325005067;Körperich;6,48
72325005068;Koxhausen;4,87
72325005069;Kruchten;5,16
72325005072;Lahr (Landkreis Eifelkreis Bitburg-Prüm);4,71
72325005073;Leimbach (Landkreis Eifelkreis Bitburg-Prüm);
72325005078;Menningen;6,83
72325005080;Mettendorf;5,55
72325005082;Minden;7,16
72325005084;Muxerath;
72325005085;Nasingen;
72325005088;Neuerburg, Stadt;5,16
72325005089;Niedergeckler;5,19
72325005090;Niederraden;5,36
72325005093;Niederweis;6,65
72325005094;Niehl;
72325005095;Nusbaum;5,48
72325005096;Obergeckler;5,04
72325005102;Utscheid;4,77
72325005103;Peffingen;5,68
72325005106;Plascheid;4,82
72325005108;Prümzurlay;6,22
72325005110;Rodershausen;6,09
72325005112;Roth an der Our;7,32
72325005114;Schankweiler;5,86
72325005116;Scheitenkorb;
72325005117;Scheuern;4,23
72325005121;Sevenig bei Neuerburg;
72325005122;Sinspelt;5,8
72325005127;Übereisenbach;4,36
72325005128;Uppershausen;5,02
72325005130;Waldhof-Falkenstein;0,09
72325005131;Wallendorf;6,65
72325005132;Weidingen;4
72325005138;Zweifelscheid;5,59
72325005218;Eisenach;5,88
72325005225;Gilzem;5,62
72325006202;Auw bei Prüm;4,69
72325006206;Bleialf;5,26
72325006207;Brandscheid (Landkreis Eifelkreis Bitburg-Prüm);4,48
72325006208;Buchet;4,57
72325006209;Büdesheim;6,14
72325006216;Dingdorf;3,9
72325006222;Feuerscheid;6,29
72325006223;Fleringen;5,37
72325006224;Giesdorf;5,1
72325006226;Weinsheim (Landkreis Eifelkreis Bitburg-Prüm);5,43
72325006227;Gondenbrett;3,98
72325006230;Großlangenfeld;4,95
72325006231;Habscheid;5,16
72325006236;Heckhuscheid;3,49
72325006238;Heisdorf;3,7
72325006250;Kleinlangenfeld;4,89
72325006256;Lasel;5,59
72325006265;Masthorn;
72325006266;Matzerath;6,64
72325006271;Mützenich;3,4
72325006272;Neuendorf (Landkreis Eifelkreis Bitburg-Prüm);5,28
72325006276;Niederlauch;4,1
72325006279;Nimshuscheid;3,99
72325006280;Nimsreuland;8,89
72325006283;Oberlascheid;3,61
72325006284;Oberlauch;6,32
72325006288;Olzheim;5,14
72325006290;Orlenbach;5,86
72325006292;Pittenbach;3,8
72325006295;Pronsfeld;5,2
72325006296;Prüm, Stadt;6,15
72325006300;Rommersheim;5,06
72325006302;Roth bei Prüm;4,81
72325006304;Schönecken;5,39
72325006305;Schwirzheim;4,87
72325006307;Seiwerath;4,53
72325006308;Sellerich;4,37
72325006318;Wallersheim;4,7
72325006320;Watzerath;5,28
72325006321;Wawern (Landkreis Eifelkreis Bitburg-Prüm);3,98
72325006327;Winringen;
72325006328;Winterscheid;2,5
72325006329;Winterspelt;4,69
72325006332;Hersdorf;4,43
72325007006;Auw an der Kyll;4,52
72325007010;Beilingen;5,96
72325007050;Herforst;5,96
72325007055;Hosten;5,75
72325007104;Philippsheim;5,77
72325007107;Preist;5,8
72325007123;Speicher, Stadt;5,93
72325007289;Orenhofen;5,58
72325007311;Spangdahlem;6,33
72325008007;Badem;6,9
72325008009;Baustert;4,85
72325008013;Bettingen;5,33
72325008014;Bickendorf;5,77
72325008015;Biersdorf am See;5,41
72325008017;Birtlingen;6,04
72325008020;Brecht;5,56
72325008024;Dahlem;5,66
72325008026;Dockendorf;5,89
72325008027;Dudeldorf;5,86
72325008029;Echtershausen;11,96
72325008030;Ehlenz;5,38
72325008032;Enzen;3,47
72325008034;Eßlingen;6,57
72325008035;Etteldorf;
72325008036;Feilsdorf;
72325008039;Fließem;5,8
72325008043;Gindorf;5,94
72325008044;Gondorf;5,61
72325008045;Halsdorf;5,66
72325008046;Hamm;11,21
72325008048;Heilenbach;4,22
72325008057;Hütterscheid;4,37
72325008058;Hüttingen an der Kyll;5,24
72325008060;Idenheim;5,28
72325008061;Idesheim;5,6
72325008062;Ingendorf;5,87
72325008070;Kyllburg, Stadt;5,91
72325008071;Kyllburgweiler;5,46
72325008074;Ließem;5,11
72325008075;Malberg;5,59
72325008076;Malbergweich;5,87
72325008077;Meckel;5,83
72325008079;Messerich;5,72
72325008081;Metterich;5,96
72325008083;Mülbach;5,51
72325008086;Nattenheim;5,55
72325008087;Neidenbach;5,26
72325008091;Niederstedem;10,3
72325008092;Niederweiler (Landkreis Eifelkreis Bitburg-Prüm);5,09
72325008097;Oberstedem;6,01
72325008098;Oberweiler;4,75
72325008099;Oberweis;5,62
72325008100;Olsdorf;4,08
72325008101;Orsfeld;5,36
72325008105;Pickließem;5,6
72325008109;Rittersdorf;5,69
72325008111;Röhl;4,96
72325008113;Sankt Thomas;4,16
72325008115;Scharfbillig;5,54
72325008118;Schleid;5,21
72325008119;Seffern;4,98
72325008120;Sefferweich;5,57
72325008124;Stockem;5,91
72325008125;Sülm;4,52
72325008126;Trimport;5,14
72325008129;Usch;4,16
72325008133;Wettlingen;4,91
72325008134;Wiersdorf;7,77
72325008135;Wilsecker;5,18
72325008137;Wolsfeld;6,69
72325008203;Balesfeld;4,75
72325008210;Burbach;5,61
72325008228;Gransdorf;5,75
72325008273;Neuheilenbach;5,66
72325008282;Oberkail;5,62
72325008306;Seinsfeld;5,27
72325008313;Steinborn;5,42
72325008331;Zendscheid;4,92
72325008501;Wißmannsdorf;5,37
72325008502;Brimingen;5,27
72335001006;Betteldorf;4,56
72335001008;Bleckhausen;3,75
72335001011;Brockscheid;5,02
72335001014;Darscheid;5,24
72335001016;Demerath;4,39
72335001017;Deudesfeld;4,38
72335001018;Dockweiler;5,23
72335001020;Dreis-Brück;4,91
72335001021;Ellscheid;4,8
72335001025;Gefell;
72335001027;Gillenfeld;5,18
72335001030;Hinterweiler;4,68
72335001031;Hörscheid;4,7
72335001034;Immerath;4,83
72335001039;Kirchweiler;4,97
72335001040;Kradenbach;4,24
72335001042;Mehren (Landkreis Vulkaneifel);4,89
72335001043;Meisburg;4,98
72335001046;Mückeln;3,93
72335001049;Nerdlen;4,59
72335001052;Niederstadtfeld;5
72335001055;Oberstadtfeld;3,93
72335001061;Sarmersbach;4,67
72335001062;Saxler;
72335001063;Schalkenmehren;5,61
72335001064;Schönbach (Landkreis Vulkaneifel);4,63
72335001065;Schutz;4,15
72335001067;Steineberg;4,8
72335001068;Steiningen;4,52
72335001070;Strohn;4,33
72335001071;Strotzbüsch;4,43
72335001074;Udler;3,84
72335001075;Üdersdorf;4,59
72335001077;Utzerath;4,5
72335001079;Wallenborn;4,43
72335001081;Weidenbach (Landkreis Vulkaneifel);4,19
72335001084;Winkel (Eifel);4,34
72335001501;Daun, Stadt;5,66
72335004003;Beinhausen;4,19
72335004010;Boxberg;4,08
72335004032;Hörschhausen;4,8
72335004037;Katzwinkel;4,37
72335004048;Neichen;4,36
72335004201;Arbach;4,52
72335004202;Bereborn;4,23
72335004203;Berenbach;5,04
72335004205;Bodenbach;4,2
72335004206;Bongard;3,97
72335004207;Borler;4,4
72335004208;Brücktal;9,46
72335004210;Drees;4,5
72335004212;Gelenberg;4,9
72335004213;Gunderath;4,76
72335004215;Höchstberg;4,54
72335004216;Horperath;3,59
72335004217;Kaperich;4,42
72335004218;Kelberg;4,99
72335004220;Kirsbach;3,95
72335004221;Kötterichen;4,34
72335004222;Kolverath;4,68
72335004224;Lirstal;5,44
72335004225;Mannebach (Landkreis Vulkaneifel);4,05
72335004226;Mosbruch;3,99
72335004228;Nitz;
72335004230;Oberelz;3,81
72335004233;Reimerath;4,96
72335004234;Retterath;4,66
72335004236;Sassen;5,84
72335004242;Uersfeld;3,95
72335004243;Ueß;4,57
72335004244;Welcherath;6,14
72335006002;Basberg;5,45
72335006004;Berlingen;4,68
72335006005;Berndorf;5,26
72335006007;Birgel;5,28
72335006019;Dohm-Lammersdorf;4,27
72335006022;Esch;4,73
72335006023;Feusdorf;4,88
72335006026;Gerolstein, Stadt;5,64
72335006028;Gönnersdorf;4,88
72335006029;Hillesheim, Stadt;5,49
72335006033;Hohenfels-Essingen;5,5
72335006035;Jünkerath;5,19
72335006036;Kalenborn-Scheuern;4,33
72335006038;Kerpen (Eifel);4,83
72335006041;Lissendorf;5,08
72335006050;Neroth;4,6
72335006053;Oberbettingen;4,74
72335006054;Oberehe-Stroheich;4,7
72335006056;Pelm;5,34
72335006058;Rockeskyll;4,5
72335006060;Salm;3,89
72335006076;Üxheim;4,15
72335006080;Walsdorf;5,27
72335006083;Wiesbaum;4,73
72335006204;Birresborn;4,93
72335006209;Densborn;4,09
72335006211;Duppach;4,22
72335006214;Hallschlag;4,56
72335006219;Kerschenbach;4,79
72335006223;Kopp;3,87
72335006227;Mürlenbach;4,55
72335006229;Nohn;4,37
72335006232;Ormont;5,24
72335006235;Reuth;5,12
72335006237;Scheid;4,79
72335006239;Schüller;4,48
72335006240;Stadtkyll;4,95
72335006241;Steffeln;5,01
72355001005;Bescheid;4,21
72355001008;Beuren (Hochwald);5,43
72355001014;Damflos;4,63
72355001030;Geisfeld;4,62
72355001035;Grimburg;4,49
72355001036;Gusenburg;4,76
72355001045;Hermeskeil, Stadt;5,71
72355001047;Hinzert-Pölert;3,71
72355001092;Naurath (Wald);5,6
72355001093;Neuhütten (Landkreis Trier-Saarburg);5,18
72355001112;Rascheid;4,67
72355001114;Reinsfeld;5,78
72355001153;Züsch;4,91
72355003055;Kanzem;6,04
72355003068;Konz, Stadt;6,73
72355003095;Nittel;8,39
72355003096;Oberbillig;7,02
72355003101;Onsdorf;6,46
72355003106;Pellingen;6,53
72355003132;Tawern;6,52
72355003133;Temmels;7,7
72355003143;Wasserliesch;6,5
72355003144;Wawern (Landkreis Trier-Saarburg);5,82
72355003146;Wellen;7,49
72355003148;Wiltingen;5,92
72355004010;Bonerath;5,48
72355004021;Farschweiler;6,15
72355004037;Gusterath;6,31
72355004038;Gutweiler;6,84
72355004044;Herl;6,35
72355004046;Hinzenburg;6,27
72355004050;Holzerath;5,81
72355004056;Kasel;6,66
72355004070;Korlingen;6,93
72355004080;Lorscheid;5,02
72355004085;Mertesdorf;7,05
72355004090;Morscheid;5,92
72355004100;Ollmuth;5,13
72355004103;Osburg;5,78
72355004107;Pluwig;6,78
72355004116;Riveris;6,03
72355004124;Schöndorf (Landkreis Trier-Saarburg);5,86
72355004129;Sommerau;5,98
72355004135;Thomm;6,27
72355004141;Waldrach;6,43
72355006004;Bekond;6,5
72355006015;Detzem;5,87
72355006019;Ensch;6,34
72355006022;Fell;6,58
72355006026;Föhren;6,37
72355006060;Kenn;7,03
72355006063;Klüsserath;5,89
72355006067;Köwerich;5,56
72355006074;Leiwen;6,57
72355006077;Longen;6,13
72355006078;Longuich;6,83
72355006083;Mehring (Landkreis Trier-Saarburg);6,38
72355006091;Naurath (Eifel);6,03
72355006108;Pölich;5,86
72355006115;Riol;6,9
72355006120;Schleich;6,69
72355006125;Schweich, Stadt;7,6
72355006134;Thörnich;5,9
72355006207;Trittenheim;5,79
72355007001;Aach;6,65
72355007027;Franzenheim;5,03
72355007048;Hockweiler;6,27
72355007051;Igel;7,2
72355007069;Kordel;6,19
72355007073;Langsur;7,58
72355007094;Newel;6,42
72355007111;Ralingen;6,37
72355007137;Trierweiler;7,29
72355007151;Zemmer;5,61
72355007501;Welschbillig;5,71
72355008002;Ayl;6,66
72355008003;Baldringen;5,25
72355008025;Fisch;6,28
72355008028;Freudenburg;6,28
72355008033;Greimerath;4,99
72355008040;Heddert;5,01
72355008043;Hentern;5,03
72355008052;Irsch;5,83
72355008057;Kastel-Staadt;4,88
72355008058;Kell am See;5,41
72355008062;Kirf;6,57
72355008072;Lampaden;5,88
72355008081;Mandern;4,89
72355008082;Mannebach;6,12
72355008098;Ockfen;5,94
72355008104;Palzem;8,04
72355008105;Paschel;5,45
72355008118;Saarburg, Stadt;6,88
72355008119;Schillingen;5,48
72355008122;Schoden;6,03
72355008123;Schömerich;5,34
72355008126;Serrig;5,77
72355008131;Taben-Rodt;4,81
72355008136;Trassem;6,13
72355008140;Vierherrenborn;4,73
72355008142;Waldweiler;5,04
72355008149;Wincheringen;8,5
72355008152;Zerf;5,43
72355008154;Merzkirchen;6,37
73110000000;Frankenthal (Pfalz), Stadt;7,12
73120000000;Kaiserslautern, Stadt;6,52
73130000000;Landau in der Pfalz, Stadt;7,8
73140000000;Ludwigshafen am Rhein, Stadt;7,31
73150000000;Mainz, Stadt;9,73
73160000000;Neustadt an der Weinstraße, Stadt;6,85
73170000000;Pirmasens, Stadt;4,62
73180000000;Speyer, Stadt;7,2
73190000000;Worms, Stadt;6,91
73200000000;Zweibrücken, Stadt;5,18
73310003003;Alzey, Stadt;6,59
73315001001;Albig;5,94
73315001005;Bechenheim;5,71
73315001007;Bechtolsheim;6,38
73315001008;Bermersheim vor der Höhe;5,78
73315001010;Biebelnheim;5,65
73315001012;Bornheim (Landkreis Alzey-Worms);6,23
73315001014;Dintesheim;3,66
73315001020;Eppelsheim;5,24
73315001021;Erbes-Büdesheim;6,1
73315001022;Esselborn;5,7
73315001024;Flomborn;6,17
73315001025;Flonheim;6,44
73315001026;Framersheim;5,99
73315001027;Freimersheim;6,06
73315001031;Gau-Heppenheim;5,76
73315001032;Gau-Odernheim;6,5
73315001042;Kettenheim;5,28
73315001043;Lonsheim;6,04
73315001044;Mauchenheim;5,6
73315001050;Nack;5,72
73315001051;Nieder-Wiesen;5,3
73315001052;Ober-Flörsheim;6,04
73315001053;Offenheim;5,43
73315001067;Wahlheim;5,69
73315002002;Alsheim;6,07
73315002018;Eich;6,15
73315002034;Gimbsheim;5,99
73315002038;Hamm am Rhein;5,74
73315002045;Mettenheim (Landkreis Alzey-Worms);6,3
73315003023;Flörsheim-Dalsheim;6,82
73315003041;Hohen-Sülzen;5,83
73315003046;Mölsheim;6,86
73315003047;Mörstadt;6,67
73315003048;Monsheim;6,42
73315003054;Offstein;6,03
73315003066;Wachenheim;5,76
73315005017;Eckelsheim;5,71
73315005030;Gau-Bickelheim;6,36
73315005035;Gumbsheim;6,59
73315005060;Siefersheim;5,7
73315005062;Stein-Bockenheim;5,37
73315005070;Wendelsheim;5,58
73315005072;Wöllstein;6,26
73315005075;Wonsheim;5,66
73315006004;Armsheim;6,17
73315006019;Ensheim;6,34
73315006029;Gabsheim;6,95
73315006033;Gau-Weinheim;6,19
73315006056;Partenheim;6,83
73315006058;Saulheim;7,56
73315006059;Schornsheim;6,75
73315006061;Spiesheim;6,57
73315006063;Sulzheim (Landkreis Alzey-Worms);7,02
73315006064;Udenheim;6,76
73315006065;Vendersheim;6,14
73315006068;Wallertheim;6,53
73315006073;Wörrstadt, Stadt;7,35
73315007006;Bechtheim;6,46
73315007009;Bermersheim;6,28
73315007011;Hochborn;5,75
73315007015;Dittelsheim-Heßloch;5,96
73315007028;Frettenheim;4,94
73315007036;Gundersheim;5,72
73315007037;Gundheim;5,52
73315007039;Hangen-Weisheim;5,85
73315007049;Monzernheim;5,02
73315007055;Osthofen, Stadt;6,81
73315007071;Westhofen;6,55
73320002002;Bad Dürkheim, Stadt;7,5
73320024024;Grünstadt, Stadt;6,8
73320025025;Haßloch;6,68
73325001009;Deidesheim, Stadt;7,29
73325001017;Forst an der Weinstraße;7,18
73325001035;Meckenheim;6,62
73325001039;Niederkirchen bei Deidesheim;6,46
73325001043;Ruppertsberg;6,59
73325002005;Bobenheim am Berg;6,42
73325002008;Dackenheim;6,88
73325002015;Erpolzheim;6,44
73325002019;Freinsheim, Stadt;7,07
73325002026;Herxheim am Berg;6,79
73325002028;Kallstadt;7,15
73325002049;Weisenheim am Berg;6,69
73325002050;Weisenheim am Sand;7,07
73325005014;Elmstein;5,02
73325005016;Esthal;5,26
73325005018;Frankeneck;5,71
73325005032;Lambrecht (Pfalz), Stadt;5,88
73325005034;Lindenberg (Landkreis Bad Dürkheim);5,88
73325005037;Neidenfels;4,97
73325005048;Weidenthal;5,29
73325006013;Ellerstadt;7,12
73325006020;Friedelsheim;6,8
73325006022;Gönnheim;6,6
73325006046;Wachenheim an der Weinstraße, Stadt;7,2
73325007001;Altleiningen;5,34
73325007003;Battenberg (Pfalz);5,85
73325007004;Bissersheim;5,69
73325007006;Bockenheim an der Weinstraße;6,55
73325007007;Carlsberg;5,78
73325007010;Dirmstein;6,58
73325007012;Ebertsheim;5,18
73325007021;Gerolsheim;6,45
73325007023;Großkarlbach;6,65
73325007027;Hettenleidelheim;5,76
73325007029;Kindenheim;6,13
73325007030;Kirchheim an der Weinstraße;6,71
73325007031;Kleinkarlbach;6,58
73325007033;Laumersheim;6,18
73325007036;Mertesheim;6,8
73325007038;Neuleiningen;6,12
73325007040;Obersülzen;7,75
73325007041;Obrigheim (Pfalz);6
73325007042;Quirnheim;6,11
73325007044;Tiefenthal (Landkreis Bad Dürkheim);6,68
73325007047;Wattenheim;5,35
73335002019;Eisenberg (Pfalz), Stadt;6
73335002038;Kerzenheim;5,48
73335002060;Ramsen;5,52
73335003001;Albisheim (Pfrimm);5,8
73335003006;Biedesheim;4,97
73335003012;Bubenheim (Landkreis Donnersbergkreis);4,84
73335003017;Dreisen;5,21
73335003018;Einselthum;5,96
73335003026;Göllheim;5,75
73335003032;Immesheim;3,72
73335003041;Lautersheim;5,34
73335003058;Ottersheim;4,91
73335003064;Rüssingen;5,15
73335003074;Standenbühl;4,23
73335003081;Weitersweiler;5,39
73335003501;Zellertal;5,06
73335004005;Bennhausen;6,66
73335004007;Bischheim;5,57
73335004010;Bolanden;5,69
73335004013;Dannenfels;5,17
73335004022;Gauersheim;4,93
73335004031;Ilbesheim;5,52
73335004035;Jakobsweiler;5,83
73335004039;Kirchheimbolanden, Stadt;6,28
73335004040;Kriegsfeld;5,17
73335004045;Marnheim;5,28
73335004046;Mörsfeld;5,13
73335004047;Morschheim;5,08
73335004056;Oberwiesen;5,69
73335004057;Orbis;5,53
73335004062;Rittersheim;5,35
73335004076;Stetten (Landkreis Donnersbergkreis);5,64
73335006009;Börrstadt;5,34
73335006011;Breunigweiler;5,26
73335006020;Falkenstein;4,67
73335006027;Gonbach;5,89
73335006030;Höringen;5,37
73335006033;Imsbach;5,55
73335006042;Lohnsfeld;5,57
73335006048;Münchweiler an der Alsenz;5,47
73335006069;Schweisweiler;5,86
73335006071;Sippersfeld;4,81
73335006075;Steinbach am Donnersberg;5,2
73335006080;Wartenberg-Rohrbach;5,68
73335006503;Winnweiler;5,85
73335007003;Alsenz;4,86
73335007004;Bayerfeld-Steckweiler;3,71
73335007008;Bisterschied;4,13
73335007014;Dielkirchen;3,83
73335007016;Dörrmoschel;3,98
73335007021;Finkenbach-Gersweiler;3,84
73335007023;Gaugrehweiler;4,62
73335007024;Gehrweiler;4,85
73335007025;Gerbach;4,39
73335007028;Gundersweiler;4,38
73335007034;Imsweiler;4,52
73335007036;Kalkofen;4,87
73335007037;Katzenbach;4,81
73335007043;Mannweiler-Cölln;4,72
73335007049;Münsterappel;4,55
73335007050;Niederhausen an der Appel;3,9
73335007051;Niedermoschel;4,16
73335007053;Oberhausen an der Appel;3,54
73335007054;Obermoschel, Stadt;4,78
73335007055;Oberndorf;4,83
73335007061;Ransweiler;4,3
73335007065;Ruppertsecken;4,94
73335007066;Sankt Alban;4,42
73335007067;Schiersfeld;4,44
73335007068;Schönborn;6,43
73335007072;Sitters;5,41
73335007073;Stahlberg;4,81
73335007077;Teschenmoschel;
73335007078;Unkenbach;4,17
73335007079;Waldgrehweiler;5,03
73335007083;Winterborn;4,62
73335007084;Würzweiler;5,13
73335007201;Rathskirchen;3,22
73335007202;Reichsthal;4,79
73335007203;Seelen;4,15
73335007502;Rockenhausen, Stadt;5,53
73340007007;Germersheim, Stadt;7,66
73340501501;Wörth am Rhein, Stadt;7,27
73345001001;Bellheim;6,64
73345001014;Knittelsheim;5,9
73345001023;Ottersheim bei Landau;6,01
73345001036;Zeiskam;6,53
73345002002;Berg (Pfalz);6,02
73345002008;Hagenbach, Stadt;7,03
73345002021;Neuburg am Rhein;6,76
73345002027;Scheibenhardt;4,87
73345003009;Hatzenbühl;6,51
73345003012;Jockgrim;7,29
73345003022;Neupotz;6,11
73345003024;Rheinzabern;6,66
73345004004;Erlenbach bei Kandel;6,3
73345004005;Freckenfeld;5,59
73345004013;Kandel, Stadt;7,14
73345004020;Minfeld;7,01
73345004030;Steinweiler;6,28
73345004031;Vollmersweiler;5,39
73345004034;Winden (Landkreis Germersheim);5,97
73345005006;Freisbach;6,07
73345005017;Lingenfeld;6,85
73345005018;Lustadt;6,12
73345005028;Schwegenheim;6,45
73345005032;Weingarten (Pfalz);6,56
73345005033;Westheim (Pfalz);5,95
73345006011;Hördt;6,7
73345006015;Kuhardt;6,65
73345006016;Leimersheim;6,81
73345006025;Rülzheim;7,03
73355001003;Bruchmühlbach-Miesau;6,21
73355001011;Gerhardsbrunn;5,3
73355001201;Lambsborn;6,54
73355001202;Langwieden;5,56
73355001203;Martinshöhe;6,02
73355002004;Enkenbach-Alsenborn;5,85
73355002007;Fischbach;5,88
73355002010;Frankenstein;4,72
73355002015;Hochspeyer;5,88
73355002026;Mehlingen;5,94
