Gemeindeschlüsselnummer;Gemeindename;Personenanzahl
55660084084;Steinfurt, Stadt;2,2
55660088088;Tecklenburg, Stadt;2,2
55700004004;Ahlen, Stadt;2,2
55700020020;Ennigerloh, Stadt;2,2
55700028028;Oelde, Stadt;2,2
55700044044;Telgte, Stadt;2,2
55700052052;Warendorf, Stadt;2,2
57540004004;Borgholzhausen, Stadt;2,2
57540012012;Halle (Westf.), Stadt;2,2
57540028028;Rheda-Wiedenbrück, Stadt;2,2
57540048048;Versmold, Stadt;2,2
57580004004;Bünde, Stadt;2,2
57580016016;Hiddenhausen;2,2
57580024024;Löhne, Stadt;2,2
57580032032;Spenge, Stadt;2,2
57580036036;Vlotho, Stadt;2,2
57620032032;Steinheim, Stadt;2,2
57660016016;Blomberg, Stadt;2,2
57660024024;Dörentrup;2,2
57660056056;Oerlinghausen, Stadt;2,2
57660060060;Schieder-Schwalenberg, Stadt;2,2
57700020020;Lübbecke, Stadt;2,2
59580008008;Bestwig;2,2
59580020020;Hallenberg, Stadt;2,2
59580028028;Medebach, Hansestadt;2,2
59580036036;Olsberg, Stadt;2,2
59580044044;Sundern (Sauerland), Stadt;2,2
59620008008;Balve, Stadt;2,2
59620036036;Meinerzhagen, Stadt;2,2
59620044044;Nachrodt-Wiblingwerde;2,2
59620060060;Werdohl, Stadt;2,2
59700004004;Bad Berleburg, Stadt;2,2
59700008008;Burbach (Kreis Siegen-Wittgenstein);2,2
59700012012;Erndtebrück;2,2
59700016016;Freudenberg, Stadt (Kreis Siegen-Wittgenstein);2,2
59700024024;Kreuztal, Stadt;2,2
59700036036;Neunkirchen (Kreis Siegen-Wittgenstein);2,2
59700044044;Wilnsdorf;2,2
59740016016;Erwitte, Stadt;2,2
59740036036;Rüthen, Stadt;2,2
59740052052;Werl, Stadt;2,2
59780004004;Bergkamen, Stadt;2,2
59780008008;Bönen;2,2
64310002002;Bensheim, Stadt;2,2
64310010010;Groß-Rohrheim;2,2
64310014014;Lautertal (Odenwald);2,2
64310017017;Mörlenbach;2,2
64310019019;Rimbach (Landkreis Bergstraße);2,2
64310021021;Wald-Michelbach;2,2
64310022022;Zwingenberg, Stadt;2,2
64320001001;Alsbach-Hähnlein;2,2
64320003003;Bickenbach (Landkreis Darmstadt-Dieburg);2,2
64320004004;Dieburg, Stadt;2,2
64320007007;Fischbachtal;2,2
64320008008;Griesheim, Stadt;2,2
64320009009;Groß-Bieberau, Stadt;2,2
64320010010;Groß-Umstadt, Stadt;2,2
64320014014;Mühltal;2,2
64320016016;Ober-Ramstadt, Stadt;2,2
64320018018;Pfungstadt, Stadt;2,2
64320019019;Reinheim, Stadt;2,2
64320020020;Roßdorf (Landkreis Darmstadt-Dieburg);2,2
64330001001;Biebesheim am Rhein;2,2
64330003003;Büttelborn;2,2
64330004004;Gernsheim, Schöfferstadt;2,2
64330006006;Groß-Gerau, Stadt;2,2
64330012012;Rüsselsheim am Main, Stadt;2,2
64330013013;Stockstadt am Rhein;2,2
64330014014;Trebur;2,2
64340002002;Friedrichsdorf, Stadt;2,2
64340005005;Königstein im Taunus, Stadt;2,2
64340010010;Steinbach (Taunus), Stadt;2,2
64340011011;Usingen, Stadt;2,2
64340012012;Wehrheim;2,2
64340013013;Weilrod;2,2
64350003003;Biebergemünd;2,2
64350005005;Brachttal;2,2
64350006006;Bruchköbel, Stadt;2,2
64350012012;Gründau;2,2
64350013013;Hammersbach;2,2
64350015015;Hasselroth;2,2
64350016016;Jossgrund;2,2
64350018018;Linsengericht;2,2
64350020020;Neuberg;2,2
64350021021;Nidderau, Stadt;2,2
64350024024;Ronneburg;2,2
64350025025;Schlüchtern, Stadt;2,2
64350026026;Schöneck;2,2
64350028028;Steinau an der Straße, Brüder-Grimm-Stadt;2,2
64350029029;Wächtersbach, Stadt;2,2
64360002002;Eppstein, Stadt;2,2
64360004004;Flörsheim am Main, Stadt;2,2
64360010010;Liederbach am Taunus;2,2
64360011011;Schwalbach am Taunus, Stadt;2,2
64370005005;Brombachtal;2,2
64370006006;Erbach, Kreisstadt;2,2
64370009009;Höchst i. Odw.;2,2
64370011011;Michelstadt, Stadt;2,2
64370016016;Oberzent, Stadt;2,2
64380003003;Egelsbach;2,2
64380007007;Mainhausen;2,2
64390001001;Aarbergen;2,2
64390006006;Hohenstein (Landkreis Rheingau-Taunus-Kreis);2,2
64390015015;Taunusstein, Stadt;2,2
64390016016;Waldems;2,2
64400003003;Bad Vilbel, Stadt;2,2
64400004004;Büdingen, Stadt;2,2
64400005005;Butzbach, Friedrich-Ludwig-Weidig-Stadt;2,2
64400009009;Gedern, Stadt;2,2
64400010010;Glauburg;2,2
64400011011;Hirzenhain;2,2
64400012012;Karben, Stadt;2,2
64400015015;Münzenberg, Stadt;2,2
64400016016;Nidda, Stadt;2,2
64400018018;Ober-Mörlen;2,2
64400021021;Reichelsheim (Wetterau), Stadt;2,2
64400022022;Rockenberg;2,2
64400024024;Wölfersheim;2,2
64400025025;Wöllstadt;2,2
65310001001;Allendorf (Lumda), Stadt;2,2
65310006006;Grünberg, Stadt;2,2
65310008008;Hungen, Stadt;2,2
65310010010;Laubach, Stadt;2,2
65310014014;Pohlheim, Stadt;2,2
65310015015;Rabenau;2,2
65310016016;Reiskirchen;2,2
65320005005;Dietzhölztal;2,2
65320006006;Dillenburg, Oranienstadt;2,2
65320010010;Greifenstein;2,2
65320013013;Hohenahr;2,2
65320014014;Hüttenberg;2,2
65320016016;Leun, Stadt;2,2
65320017017;Mittenaar;2,2
65320019019;Siegbach;2,2
65320020020;Sinn;2,2
65320021021;Solms, Stadt;2,2
65330002002;Brechen;2,2
65330004004;Dornburg;2,2
65330005005;Elbtal;2,2
65330006006;Elz;2,2
65330007007;Hadamar, Stadt;2,2
65330008008;Hünfelden;2,2
65330010010;Löhnberg;2,2
65330013013;Runkel, Stadt;2,2
65330014014;Selters (Taunus);2,2
65330018018;Weilmünster, Marktflecken;2,2
65330019019;Weinbach;2,2
65340002002;Angelburg;2,2
65340004004;Biedenkopf, Stadt;2,2
65340009009;Fronhausen;2,2
65340010010;Gladenbach, Stadt;2,2
65340011011;Kirchhain, Stadt;2,2
65340013013;Lohra;2,2
65340017017;Rauschenberg, Stadt;2,2
65340019019;Steffenberg;2,2
65340020020;Weimar (Lahn);2,2
65340021021;Wetter (Hessen), Stadt;2,2
65350002002;Antrifttal;2,2
65350006006;Grebenau, Stadt;2,2
65350008008;Herbstein, Stadt;2,2
65350013013;Mücke;2,2
65350014014;Romrod, Stadt;2,2
65350015015;Schlitz, Stadt;2,2
65350017017;Schwalmtal (Landkreis Vogelsbergkreis);2,2
66310002002;Burghaun, Marktgemeinde;2,2
66310012012;Hilders, Marktgemeinde;2,2
66310014014;Hosenfeld;2,2
66310015015;Hünfeld, Konrad-Zuse-Stadt;2,2
66310018018;Neuhof (Landkreis Fulda);2,2
66310021021;Poppenhausen (Wasserkuppe);2,2
66310023023;Tann (Rhön), Stadt;2,2
66320004004;Breitenbach a. Herzberg;2,2
66320006006;Friedewald (Landkreis Hersfeld-Rotenburg);2,2
66320008008;Haunetal, Marktgemeinde;2,2
66320011011;Kirchheim (Landkreis Hersfeld-Rotenburg);2,2
66320015015;Niederaula, Marktgemeinde;2,2
66320017017;Ronshausen;2,2
66320019019;Schenklengsfeld;2,2
66320020020;Wildeck;2,2
66330004004;Breuna;2,2
66330011011;Habichtswald;2,2
66330016016;Liebenau, Stadt;2,2
66330025025;Trendelburg, Stadt;2,2
66340001001;Borken (Hessen), Stadt;2,2
66340002002;Edermünde;2,2
