Gemeindeschlüsselnummer;Gemeindename;Anzahl;qkm;Ew/qkm
91765115165;Walting;2297;39,72;58
91765118111;Adelschlag;2998;51,95;58
91775125121;Hohenpolding;1593;27,42;58
91890142142;Schnaitsee;3573;61,14;58
91895169146;Staudach-Egerndach;1128;19,34;58
91895170126;Kienberg;1314;22,83;58
91905175114;Bernbeuren;2435;41,65;58
91905176113;Antdorf;1291;22,38;58
91905177120;Eberfing;1502;25,93;58
91905180143;Prem;923;15,93;58
92710122122;Grafling;2695;46,32;58
92770121121;Gangkofen, M;6255;108,76;58
93740164164;Waidhaus, M;2146;37,32;58
93775348128;Kastl (Landkreis Tirschenreuth);1423;24,74;58
94715407128;Ebrach, M;1887;32,26;58
95775535115;Bergen (Landkreis Weißenburg-Gunzenhausen);1152;19,92;58
96775624166;Neustadt a.Main;1153;19,81;58
96795647174;Prosselsheim;1157;20,03;58
96795654118;Bieberehren;859;14,82;58
97735713153;Medlingen;999;17,09;58
97735716164;Schwenningen (Landkreis Dillingen a.d.Donau);1442;25,05;58
97785766207;Unteregg;1381;23,69;58
97795722226;Wechingen;1389;24,03;58
97795723198;Otting;772;13,39;58
97800145145;Wertach, M;2634;45,65;58
147306000000;Jesewitz;3054;52,44;58
10515163026;Eggstedt;761;12,79;59
10515166076;Neufeld;613;10,4;59
10515169065;Lehe (Kreis Dithmarschen);1092;18,63;59
10535308067;Klempau;597;10,07;59
10535343022;Dalldorf;354;6,05;59
10545453101;Oster-Ohrstedt;665;11,29;59
10570009009;Bösdorf;1247;21,09;59
10575739017;Dörnick;255;4,3;59
10575755078;Stakendorf;473;7,97;59
10585847047;Elsdorf-Westermühlen;1609;27,48;59
10595952144;Meyn;737;12,4;59
10595987081;Stolk;851;14,54;59
10595996188;Stapel;1927;32,67;59
10605086069;Rohlstorf;1161;19,68;59
10615189036;Hennstedt (Kreis Steinburg);610;10,33;59
33525411056;Wingst;3303;55,63;59
33535406018;Heidenau;2283;38,9;59
33545406019;Neu Darchau;1330;22,73;59
33565401006;Lübberstedt;731;12,37;59
33570051051;Visselhövede, Stadt;9451;159,2;59
33575405029;Kalbe;611;10,27;59
33575408021;Heeslingen;4856;82,46;59
33585402013;Häuslingen;805;13,69;59
64370016016;Oberzent, Stadt;9694;165,61;59
66310010010;Gersfeld (Rhön), Stadt;5253;89,34;59
71315001085;Winnerath;196;3,33;59
71325010004;Bachenberg;99;1,67;59
71325010046;Hasselbach;341;5,76;59
71325010056;Idelberg;67;1,13;59
71355002026;Eppenberg;243;4,12;59
71375003035;Herresbach;503;8,47;59
71375003099;Siebenbach;200;3,41;59
71405008096;Mörschbach;343;5,82;59
71415011118;Roth (Landkreis Rhein-Lahn-Kreis);200;3,4;59
71435008203;Arnshöfen;174;2,94;59
72315006006;Berglicht;449;7,55;59
72315009020;Diefenbach;84;1,42;59
72325001262;Lünebach;604;10,26;59
72325005218;Eisenach;374;6,31;59
72335001063;Schalkenmehren;611;10,34;59
72355001047;Hinzert-Pölert;286;4,85;59
72355001112;Rascheid;478;8,05;59
72355008082;Mannebach;355;6,05;59
73355010009;Frankelbach;312;5,29;59
73405003028;Lemberg;3455;58,18;59
81270008008;Blaufelden;5323;90,17;59
81275004047;Langenburg, Stadt;1845;31,4;59
82265007027;Heddesbach;487;8,21;59
83155013094;St. Märgen;1958;33,32;59
83175014088;Oberharmersbach;2426;40,92;59
83365001104;Malsburg-Marzell;1471;24,9;59
84255010052;Grundsheim;217;3,7;59
91855155116;Berg im Gau;1325;22,59;59
91905178145;Rottenbuch;1854;31,48;59
92715202148;Schaufling;1499;25,39;59
92770126126;Johanniskirchen;2376;40,59;59
93765339131;Gleiritsch;643;10,94;59
95715508218;Weiltingen, M;1429;24,02;59
95745527129;Hartenstein;1453;24,76;59
95750116116;Burghaslach, M;2612;43,97;59
96740210210;Untermerzbach;1627;27,75;59
96745612223;Ermershausen;543;9,21;59
96755618167;Seinsheim, M;1041;17,51;59
97775754138;Günzach;1393;23,47;59
97775756170;Seeg;2961;50,04;59
10515163064;Kuden;622;11,37;55
10535373059;Kankelau;231;4,21;55
10535373091;Mühlenrade;206;3,74;55
10545488015;Borgsum;305;5,51;55
10545488083;Midlum (Kreis Nordfriesland);467;8,5;55
10575785080;Stolpe (Kreis Plön);1270;23,21;55
10585824096;Lindau;1391;25,18;55
10585830019;Böhnhusen;292;5,29;55
10585847056;Friedrichsholm;391;7,13;55
10585890066;Groß Wittensee;1308;23,6;55
10595974074;Scheggerott;350;6,32;55
10595990148;Niesgrau;545;9,89;55
10605043064;Nützen;1196;21,62;55
32555401015;Golmbach;874;15,95;55
32565408004;Diepenau, Flecken;3848;70,05;55
32565410018;Leese;1629;29,76;55
33575401009;Brockel;1376;25,2;55
33575406001;Ahausen;1890;34,62;55
34545401030;Lehe (Landkreis Emsland);986;17,87;55
53660020020;Hellenthal;7646;137,82;55
57740028028;Lichtenau, Stadt (Kreis Paderborn);10679;192,57;55
66320005005;Cornberg;1294;23,36;55
66350019019;Vöhl;5405;98,85;55
71335011025;Dörrebach;722;13,14;55
71405004053;Hirschfeld (Hunsrück);278;5,09;55
71405008148;Steinbach;142;2,6;55
71405009014;Bickenbach;354;6,4;55
71415007040;Eschbach (Landkreis Rhein-Lahn-Kreis);141;2,58;55
71415007080;Lipporn;263;4,79;55
72315008003;Arenrath;372;6,78;55
72315008504;Niersbach;713;12,85;55
72315009029;Enkirch;1401;25,43;55
72335001064;Schönbach (Landkreis Vulkaneifel);258;4,67;55
72335004234;Retterath;301;5,49;55
72335006005;Berndorf;500;9,16;55
72355004010;Bonerath;233;4,24;55
72355007027;Franzenheim;357;6,45;55
72355008105;Paschel;236;4,3;55
73335007034;Imsweiler;540;9,9;55
73365008040;Herren-Sulzbach;161;2,92;55
81350010010;Dischingen;4332;78,06;55
83165002003;Biederbach;1722;31,35;55
91800122122;Krün;1994;36,31;55
91800123123;Mittenwald, M;7347;132,84;55
91835148145;Taufkirchen (Landkreis Mühldorf a.Inn);1395;25,33;55
91835150125;Lohkirchen;822;14,94;55
91855155123;Brunnen;1782;32,14;55
92760129129;Langdorf;1887;34,35;55
92770114114;Dietersburg;3033;55,03;55
92780178178;Rattenberg;1650;30,22;55
93715303141;Neukirchen b.Sulzbach-Rosenberg;2526;45,76;55
93720124124;Eschlkam, M;3345;60,47;55
93725312128;Gleißenberg;851;15,38;55
93725317167;Zell;1813;32,95;55
94740176176;Wiesenttal, M;2529;45,88;55
94760184184;Wallenfels, St;2488;45,65;55
94765433180;Teuschnitz, St;1874;34,25;55
95710130130;Colmberg, M;2116;38,34;55
95775534127;Ettenstatt;872;15,85;55
97730117117;Bissingen, M;3535;64,2;55
97785758184;Oberschönegg;1002;18,28;55
97785759121;Breitenbrunn;2320;41,89;55
97795725163;Holzheim (Landkreis Donau-Ries);1116;20,29;55
120620000000;Doberlug-Kirchhain, Stadt;8280;150,36;55
10535318046;Gudow;1745;42,25;41
10535323131;Wiershop;212;5,15;41
10535373042;Groß Pampau;175;4,31;41
10545489016;Bosbüll;260;6,33;41
10555546029;Manhagen;392;9,63;41
10575739067;Rathjensdorf;478;11,79;41
10575747031;Honigsee;457;11,27;41
10575775052;Mucheln;579;14,28;41
10585888026;Bovenau;1085;26,24;41
10585895044;Ehndorf;599;14,68;41
10605086071;Schieren;258;6,36;41
10615104109;Westermoor;390;9,44;41
10615189088;Quarnstedt;436;10,59;41
10615189096;Sarlhusen;447;10,86;41
31545402006;Gevensleben;619;15,25;41
31585407007;Dahlum;626;15,18;41
32515405006;Barver;1061;26,04;41
33525411055;Wanna;2218;53,93;41
33535403014;Halvesbostel;748;18,29;41
33555401034;Soderstorf;1468;36,05;41
33575403027;Hipstedt;1210;29,43;41
33575405056;Wohnste;794;19,23;41
33575408013;Elsdorf;1999;49,1;41
34545402036;Messingen;1046;25,44;41
34545405015;Gersten;1172;28,83;41
34545409027;Lahn;868;21,24;41
34545409042;Rastdorf;1082;26,33;41
34565401012;Laar;2090;51,01;41
65350006006;Grebenau, Stadt;2271;55,34;41
65350012012;Lautertal (Vogelsberg);2182;53,6;41
66340023023;Schwarzenborn, Stadt;1109;26,9;41
71325006102;Seelbach bei Hamm (Sieg);140;3,41;41
71325010110;Volkerzen;82;1,99;41
71345002002;Achtelsbach;395;9,7;41
71345005059;Niederhosenbach;306;7,43;41
71375003006;Arft;237;5,83;41
71405008012;Bergenhausen;109;2,68;41
71405008158;Wahlbach;177;4,34;41
72315006058;Horath;486;11,89;41
72325001220;Eschfeld;194;4,77;41
72325005103;Peffingen;235;5,8;41
72325006290;Orlenbach;252;6,2;41
72325008026;Dockendorf;238;5,83;41
72325008210;Burbach;698;17,04;41
72335004205;Bodenbach;198;4,78;41
72335004222;Kolverath;102;2,46;41
72335006229;Nohn;456;11,03;41
81285002138;Ahorn (Landkreis Main-Tauber-Kreis);2202;53,93;41
84255010073;Lauterach;567;13,76;41
84265007067;Langenenslingen;3642;88,33;41
91720132132;Schönau a.Königssee;5383;131,62;41
91730135135;Lenggries;10002;242,83;41
91890140140;Ruhpolding;6101;147,83;41
92775239141;Rimbach (Landkreis Rottal-Inn);947;22,9;41
93710129129;Hohenburg, M;1706;41,49;41
93765345122;Dieterskirchen;991;24,14;41
93770112112;Bärnau, St;3078;74,41;41
95715509141;Ehingen (Landkreis Ansbach);1959;47,6;41
95755519155;Oberickelsheim;745;18,22;41
95775536179;Westheim;1171;28,32;41
96755618150;Martinsheim;956;23,22;41
97770169169;Schwangau;3129;76;41
97785758157;Kirchhaslach;1313;31,99;41
120731000000;Templin, Stadt;15593;379,58;41
10010000000;Flensburg, Stadt;95015;56,73;1675
10020000000;Kiel, Landeshauptstadt;249132;118,65;2100
10030000000;Lübeck, Hansestadt;215958;214,19;1008
10040000000;Neumünster, Stadt;79625;71,66;1111
10510011011;Brunsbüttel, Stadt;12573;65,21;193
10510044044;Heide, Stadt;21487;31,97;672
10515163003;Averlak;568;9,06;63
10515163010;Brickeln;191;6,07;31
10515163012;Buchholz (Kreis Dithmarschen);1001;14,56;69
10515163016;Burg (Dithmarschen);4150;11,25;369
10515163022;Dingen;648;7,01;92
10515163024;Eddelak;1330;9,21;144
10515163032;Frestedt;337;10,33;33
10515163037;Großenrade;482;10,4;46
10515163051;Hochdonn;1124;5,46;206
10515163089;Quickborn;188;6,95;27
10515163097;Sankt Michaelisdonn;3539;23,06;153
10515163110;Süderhastedt;771;15,74;49
10515166021;Diekhusen-Fahrstedt;675;7,46;90
10515166034;Friedrichskoog;2403;53,27;45
10515166046;Helse;800;11,44;70
10515166057;Kaiser-Wilhelm-Koog;356;13,05;27
10515166062;Kronprinzenkoog;833;28,84;29
10515166072;Marne, Stadt;5766;4,83;1194
10515166073;Marnerdeich;395;1,31;302
10515166077;Neufelderkoog;116;9,77;12
10515166090;Ramhusen;160;4,8;33
10515166103;Schmedeswurth;174;5,91;29
10515166118;Trennewurth;229;7,79;29
10515166119;Volsemenhusen;328;16,78;20
10515169005;Barkenholm;177;5,11;35
10515169008;Bergewöhrden;35;2,64;13
10515169019;Dellstedt;718;21,77;33
10515169020;Delve;760;15,84;48
10515169023;Dörpling;637;7,82;81
10515169030;Fedderingen;265;9,69;27
10515169035;Gaushorn;175;6,45;27
10515169036;Glüsing;107;4,69;23
10515169038;Groven;90;7,9;11
10515169047;Hemme;499;16,53;30
10515169049;Hennstedt (Kreis Dithmarschen);2071;21,93;94
10515169052;Hövede;64;2,94;22
10515169053;Hollingstedt (Kreis Dithmarschen);304;9,74;31
10515169058;Karolinenkoog;132;17,55;8
10515169060;Kleve (Kreis Dithmarschen);413;12,81;32
10515169061;Krempel;600;4,82;124
10515169068;Linden (Kreis Dithmarschen);874;11,62;75
10515169071;Lunden;1727;4,65;371
10515169080;Norderheistedt;131;4,33;30
10515169088;Pahlen;1171;10,8;108
10515169092;Rehm-Flehde-Bargen;539;14,63;37
10515169096;Sankt Annen;311;14,89;21
10515169100;Schalkholz;578;12,52;46
10515169102;Schlichting;243;12,5;19
10515169114;Tellingstedt;2673;21,1;127
10515169117;Tielenhemme;156;12,68;12
10515169120;Wallen;33;1,86;18
10515169125;Welmbüttel;406;7,6;53
10515169131;Westerborstel;117;4,14;28
10515169133;Wiemerstedt;152;5,08;30
10515169136;Wrohm;741;11,45;65
10515169139;Süderdorf;362;16,21;22
10515169141;Süderheistedt;548;8,44;65
10515172048;Hemmingstedt;2860;16,01;179
10515172067;Lieth;381;4,66;82
10515172069;Lohe-Rickelshof;2040;5,39;378
10515172075;Neuenkirchen (Kreis Dithmarschen);934;25,14;37
10515172081;Norderwöhrden;262;18,47;14
10515172082;Nordhastedt;2803;26,56;106
10515172087;Ostrohe;867;6,66;130
10515172107;Stelle-Wittenwurth;460;10,71;43
10515172113;Wöhrden;1165;21,77;54
10515172122;Weddingstedt;2371;17,89;133
10515172130;Wesseln;1368;3,76;364
10515175001;Albersdorf (Kreis Dithmarschen);3717;17,12;217
10515175002;Arkebek;227;6,92;33
10515175004;Bargenstedt;920;11,9;77
10515175006;Barlt;763;22,88;33
10515175015;Bunsoh;771;11,75;66
10515175017;Busenwurth;308;10,09;31
10515175027;Elpersbüttel;851;30,17;28
10515175028;Epenwöhrden;766;13,52;57
10515175039;Gudendorf;428;6,04;71
10515175054;Immenstedt (Kreis Dithmarschen);106;3,09;34
10515175063;Krumstedt;496;15,89;31
10515175074;Meldorf, Stadt;7180;21,26;338
10515175078;Nindorf (Kreis Dithmarschen);1095;8,75;125
10515175083;Odderade;325;11,27;29
10515175085;Offenbüttel;263;13,95;19
10515175086;Osterrade;412;17,09;24
10515175098;Sarzbüttel;707;13,39;53
10515175099;Schafstedt;1280;18,16;70
10515175104;Schrum;74;5,01;15
10515175126;Wennbüttel;103;4,59;22
10515175134;Windbergen;773;17,31;45
10515175135;Wolmersdorf;318;6,11;52
10515175137;Nordermeldorf;589;34,1;17
10515175138;Tensbüttel-Röst;647;19,36;33
10515178013;Büsum;4911;8,48;579
10515178014;Büsumer Deichhausen;343;2,87;120
10515178033;Friedrichsgabekoog;52;8,62;6
10515178043;Hedwigenkoog;218;16,36;13
10515178045;Hellschen-Heringsand-Unterschaar;164;7,02;23
10515178050;Hillgroven;57;3,6;16
10515178079;Norddeich;434;6,9;63
10515178084;Oesterdeichstrich;310;4,64;67
10515178093;Reinsbüttel;389;6,83;57
10515178105;Schülp;369;9,27;40
10515178108;Strübbel;95;4,4;22
10515178109;Süderdeich;435;6,64;66
10515178121;Warwerort;226;4,58;49
10515178127;Wesselburen, Stadt;3346;5,13;652
10515178128;Wesselburener Deichhausen;107;5,07;21
10515178129;Wesselburenerkoog;165;21,89;8
10515178132;Westerdeichstrich;797;7,5;106
10515178140;Oesterwurth;241;14,19;17
10530032032;Geesthacht, Stadt;32343;33,25;973
10530083083;Lauenburg/ Elbe, Stadt;11395;9,56;1192
10530090090;Mölln, Stadt;19392;25,05;774
10530100100;Ratzeburg, Stadt;14873;30,29;491
10530116116;Schwarzenbek, Stadt;16889;11,55;1462
10530129129;Wentorf bei Hamburg;13524;6,87;1969
10535308008;Behlendorf;405;10,25;40
10535308009;Berkenthin;2171;10,34;210
10535308011;Bliestorf;631;10,35;61
10535308024;Düchelsdorf;154;3,01;51
10535308034;Göldenitz;231;5,06;46
10535308061;Kastorf;1165;6,9;169
10535308075;Krummesse;1629;3,35;486
10535308094;Niendorf bei Berkenthin;193;3,99;48
10535308103;Rondeshagen;794;9,51;83
10535308120;Sierksrade;441;4;110
10535313002;Alt-Mölln;851;6,44;132
10535313005;Bälau;225;6,5;35
10535313013;Borstorf;315;8,64;36
10535313014;Breitenfelde;2099;12,54;167
10535313037;Grambek;534;12,66;42
10535313084;Lehmrade;591;11,4;52
10535313095;Niendorf/ Stecknitz;697;8,41;83
10535313113;Schretstaken;512;8,47;60
10535313125;Talkau;543;4,88;111
10535313134;Woltersdorf (Kreis Herzogtum Lauenburg);350;7,9;44
10535318010;Besenthal;92;12,65;7
10535318015;Bröthen;330;10,69;31
10535318020;Büchen;6366;16,85;378
10535318029;Fitzen;386;9,11;42
10535318035;Göttin;61;5,21;12
10535318048;Güster;1296;7,78;167
10535318064;Klein Pampau;679;4,17;163
10535318080;Langenlehsten;173;23,37;7
10535318092;Müssen;1233;11,46;108
10535318104;Roseburg;544;16,24;33
10535318115;Schulendorf;452;11,38;40
10535318119;Siebeneichen;269;4,68;57
10535318126;Tramm (Kreis Herzogtum Lauenburg);323;6,74;48
10535318132;Witzeeze;917;10,46;88
10535323003;Aumühle;3200;3,48;920
10535323012;Börnsen;4773;8,41;568
10535323023;Dassendorf;3465;7,94;436
10535323028;Escheburg;3496;8,91;392
10535323050;Hamwarde;883;6,67;132
10535323053;Hohenhorn;537;6,93;77
10535323072;Kröppelshagen-Fahrendorf;1423;8,37;170
10535323133;Wohltorf;2579;5,97;432
10535323135;Worth;170;6,07;28
10535343006;Basedow (Kreis Herzogtum Lauenburg);633;7,47;85
10535343019;Buchhorst;147;5,19;28
10535343058;Juliusburg;183;6,03;30
10535343073;Krüzen;358;8,24;43
10535343074;Krukow (Kreis Herzogtum Lauenburg);162;7,94;20
10535343082;Lanze;268;9,04;30
10535343087;Lütau;696;11,24;62
10535343111;Schnakenbek;912;13,02;70
10535343128;Wangelau;210;6,52;32
10535358001;Albsfelde;74;4,18;18
10535358004;Bäk;919;4,3;214
10535358016;Brunsmark;156;4,29;36
10535358018;Buchholz (Kreis Herzogtum Lauenburg);252;2,93;86
10535358026;Einhaus;447;2,53;177
10535358030;Fredeburg;47;10,09;5
10535358033;Giesensdorf;175;2,73;64
10535358040;Groß Disnack;84;5,99;14
10535358041;Groß Grönau;3764;4,9;768
10535358043;Groß Sarau;1052;17,08;62
10535358051;Harmsdorf (Kreis Herzogtum Lauenburg);314;3,57;88
10535358054;Hollenbek;472;7,21;65
10535358057;Horst;277;12,05;23
10535358062;Kittlitz;299;17,73;17
10535358066;Klein Zecher;247;9,11;27
10535358078;Kulpin;210;6,07;35
10535358088;Mechow;141;4,43;32
10535358093;Mustin (Kreis Herzogtum Lauenburg);732;11,88;62
10535358098;Pogeez;510;4,51;113
10535358102;Römnitz;49;5,15;10
10535358107;Salem (Kreis Herzogtum Lauenburg);693;25,1;28
10535358110;Schmilau;572;11,55;50
10535358117;Seedorf (Kreis Herzogtum Lauenburg);595;27,88;21
10535358123;Sterley;927;21,39;43
10535358136;Ziethen (Kreis Herzogtum Lauenburg);1157;11,18;103
10535373007;Basthorst;437;10,82;40
10535373017;Brunstorf;783;13,76;57
10535373021;Dahmker;157;2,04;77
10535373027;Elmenhorst (Kreis Herzogtum Lauenburg);881;12,99;68
10535373031;Fuhlenhagen;389;5,74;68
10535373036;Grabau (Kreis Herzogtum Lauenburg);363;4,1;89
10535373045;Grove;263;5,28;50
10535373047;Gülzow (Kreis Herzogtum Lauenburg);1368;17,07;80
10535373049;Hamfelde (Kreis Herzogtum Lauenburg);505;3,47;146
10535373052;Havekost;194;5,91;33
10535373060;Kasseburg;578;7,89;73
10535373070;Köthel (Kreis Herzogtum Lauenburg);301;1,52;198
10535373071;Kollow;622;8,21;76
10535373076;Kuddewörde;1707;7,35;232
10535373089;Möhnsen;554;7,47;74
10535373106;Sahms;460;5,94;77
10535391025;Duvensee;554;12,39;45
10535391038;Grinau;288;2,74;105
10535391039;Groß Boden;213;2,7;79
10535391044;Groß Schenkenberg;572;6,52;88
10535391068;Klinkrade;614;7,4;83
10535391069;Koberg;791;11,98;66
10535391077;Kühsen;358;7,28;49
10535391079;Labenz;882;5,75;153
10535391081;Lankau;462;19,12;24
10535391085;Linau;1222;9,66;127
10535391086;Lüchow;307;4,61;67
10535391096;Nusse;1176;6,22;189
10535391097;Panten;651;13,83;47
10535391099;Poggensee;363;5,44;67
10535391101;Ritzerau;307;11,11;28
10535391108;Sandesneben;1886;6,13;308
10535391109;Schiphorst;681;8,15;84
10535391112;Schönberg (Kreis Herzogtum Lauenburg);1449;14,77;98
10535391114;Schürensöhlen;158;2,75;57
10535391118;Siebenbäumen;607;8,82;69
10535391121;Sirksfelde;333;8,62;39
10535391122;Steinhorst (Kreis Herzogtum Lauenburg);564;16,29;35
10535391124;Stubben (Kreis Herzogtum Lauenburg);381;5,33;71
10535391127;Walksfelde;209;3,51;60
10535391130;Wentorf (Amt Sandesneben);717;4,99;144
10540033033;Friedrichstadt, Stadt;2614;4,02;650
10540056056;Husum, Stadt;23628;25,8;916
10540108108;Reußenköge;311;45,91;7
10540138138;Tönning, Stadt;4789;44,43;108
10540168168;Sylt;14579;57,31;254
10545417035;Garding, Kirchspiel;326;14,89;22
10545417036;Garding, Stadt;2771;3,06;906
10545417040;Grothusenkoog;25;3,27;8
10545417063;Katharinenheerd;157;8,41;19
10545417072;Kotzenbüll;188;7,77;24
10545417090;Norderfriedrichskoog;54;5,31;10
10545417095;Oldenswort;1237;45,84;27
10545417100;Osterhever;223;18,5;12
10545417104;Poppenbüll;236;15,52;15
10545417113;Sankt Peter-Ording;3809;28,35;134
10545417134;Tating;999;29,49;34
10545417135;Tetenbüll;645;36,42;18
10545417140;Tümlauer Koog;106;6,2;17
10545417145;Vollerwiek;208;4,62;45
10545417148;Welt;191;8,2;23
10545417150;Westerhever;97;13,32;7
10545439046;Hörnum (Sylt);854;5,64;151
10545439061;Kampen (Sylt);533;8,43;63
10545439078;List auf Sylt;1404;18,42;76
10545439149;Wenningstedt-Braderup (Sylt);1441;6,16;234
10545453003;Ahrenviöl;524;10,11;52
10545453004;Ahrenviölfeld;224;7,29;31
10545453011;Behrendorf;551;15,29;36
10545453013;Bondelum;186;9,18;20
10545453041;Haselund;920;12,79;72
10545453057;Immenstedt (Kreis Nordfriesland);671;14,61;46
10545453079;Löwenstedt;705;19,62;36
10545453092;Norstedt;391;13,5;29
10545453118;Schwesing;937;15,63;60
10545453123;Sollwitt;285;10,95;26
10545453144;Viöl;2248;18,96;119
10545459039;Gröde;9;2,52;4
10545459050;Hallig Hooge;100;5,78;17
10545459074;Langeneß;136;11,57;12
10545459103;Pellworm;1231;37,45;33
10545488005;Alkersum;392;9,07;43
10545488025;Dunsum;77;2,72;28
10545488085;Nebel;921;11,95;77
10545488087;Nieblum;582;7,86;74
10545488089;Norddorf auf Amrum;571;5,89;97
10545488094;Oevenum;454;10,87;42
10545488098;Oldsum;561;13,31;42
10545488129;Süderende;178;2,59;69
10545488143;Utersum;412;5,26;78
10545488158;Witsum;41;1,59;26
10545488160;Wittdün auf Amrum;814;2,61;312
10545488163;Wrixum;561;7,56;74
10545488164;Wyk auf Föhr, Stadt;4217;8,08;522
10545489001;Achtrup;1534;29,9;51
10545489009;Aventoft;406;14,47;28
10545489017;Braderup;662;13,35;50
10545489018;Bramstedtlund;212;13,85;15
10545489022;Dagebüll;918;36,92;25
10545489027;Ellhöft;105;7,82;13
10545489034;Friedrich-Wilhelm-Lübke-Koog;169;13,49;13
10545489048;Holm (Kreis Nordfriesland);93;4;23
10545489055;Humptrup;756;16,99;44
10545489062;Karlum;214;14,46;15
10545489065;Klanxbüll;1059;10,63;100
