Gemeindeschlüsselnummer;Gemeindename;Durchschnittliche Wohnfläche je Wohnung (qm);Durchschnittliche Anzahl der Räume je Wohnung (qm)
71325009002;Alsdorf;108,8;5,2
71325009042;Grünebach;111;5,2
71325010033;Fluterschen;119;5,2
71325010083;Oberlahr;122,5;5,2
71325010086;Oberwambach;120,6;5,2
71325010094;Rettersen;121,1;5,2
71325010097;Rott;120,5;5,2
71325010106;Sörth;122,1;5,2
71325010502;Neitersen;117,4;5,2
71335001003;Altenbamberg;122,4;5,2
71335001069;Neu-Bamberg;121,1;5,2
71335001078;Pfaffen-Schwabenheim;122,8;5,2
71335006112;Weinsheim (Landkreis Bad Kreuznach);116,3;5,2
71335009038;Hahnenbach;109,8;5,2
71335011018;Bretzenheim;120,5;5,2
71335011087;Rümmelsheim;118,3;5,2
71345001073;Rohrbach (Landkreis Birkenfeld);115,8;5,2
71345002042;Hoppstädten-Weiersbach;112,3;5,2
71345005043;Horbruch;114;5,2
71355001007;Beilstein;112;5,2
71355001029;Faid;116,1;5,2
71355001056;Lütz;109,9;5,2
71355001065;Moselkern;110,1;5,2
71355005003;Altlay;114,4;5,2
71375001056;Kretz;116,6;5,2
71375002086;Ochtendung;117,9;5,2
71375003113;Welschenbach;115,4;5,2
71375009212;Kobern-Gondorf;116,8;5,2
71375009214;Löf;116,2;5,2
71375009220;Oberfell;116,1;5,2
71375009223;Spay;112,7;5,2
71375009231;Wolken;124,5;5,2
71385001044;Neustadt (Wied);120,8;5,2
71385001080;Buchholz (Westerwald);123,7;5,2
71385002038;Leutesdorf;112,5;5,2
71385003031;Isenburg;112,3;5,2
71385004037;Leubsdorf (Landkreis Neuwied);118,2;5,2
71385004068;Sankt Katharinen (Landkreis Neuwied);119,8;5,2
71385005050;Niederwambach;123,2;5,2
71385005057;Puderbach;117,5;5,2
71385005058;Ratzert;121,3;5,2
71385005059;Raubach;121;5,2
71385009006;Breitscheid;126,3;5,2
71385009026;Hardert;121,5;5,2
71385009053;Oberhonnefeld-Gierend;124,5;5,2
71385009071;Straßenhaus;120,1;5,2
71405008126;Riegenroth;114,7;5,2
71405009060;Hungenroth;119,8;5,2
71415007047;Gemmerich;116,3;5,2
71415007060;Holzhausen an der Haide;115,9;5,2
71415010129;Singhofen;117,5;5,2
71415010139;Winden;115,2;5,2
71435001253;Langenbach bei Kirburg;119,6;5,2
71435001255;Lautzenbrücken;117;5,2
71435002212;Borod;112,9;5,2
71435002250;Kroppach;118,4;5,2
71435002258;Linden (Landkreis Westerwaldkreis);121,1;5,2
71435003031;Hillscheid;115,6;5,2
71435005084;Wittgert;132;5,2
71435006246;Irmtraut;118,9;5,2
71435006315;Zehnhausen bei Rennerod;118,5;5,2
71435007029;Herschbach;119,4;5,2
71435007064;Rückeroth;121,3;5,2
71435008281;Oberahr;123,9;5,2
71435009233;Halbs;118;5,2
71435009312;Willmenrod;123,5;5,2
71435010003;Bannberscheid;120,2;5,2
71435010028;Helferskirchen;120,1;5,2
72315001125;Ürzig;118;5,2
72315008022;Dierscheid;115,3;5,2
72315008031;Esch (Landkreis Bernkastel-Wittlich);121;5,2
72325001255;Lascheid;120,6;5,2
72325001310;Sevenig (Our);100,9;5,2
72325005011;Berkoth;107,9;5,2
72325007123;Speicher, Stadt;114,7;5,2
72325008027;Dudeldorf;115,8;5,2
72325008070;Kyllburg, Stadt;112,4;5,2
72335001042;Mehren (Landkreis Vulkaneifel);114,1;5,2
72335004224;Lirstal;109,9;5,2
72335006022;Esch;119;5,2
72355004038;Gutweiler;118,5;5,2
72355004056;Kasel;119,5;5,2
72355004107;Pluwig;124,5;5,2
72355004141;Waldrach;113,3;5,2
72355006022;Fell;118,5;5,2
72355006026;Föhren;117,2;5,2
72355006083;Mehring (Landkreis Trier-Saarburg);123,6;5,2
72355007051;Igel;120,6;5,2
72355007094;Newel;125,1;5,2
73315001025;Flonheim;122,8;5,2
73315001050;Nack;117;5,2
73315001051;Nieder-Wiesen;115,5;5,2
73315002002;Alsheim;119,7;5,2
73315002038;Hamm am Rhein;118,9;5,2
73315003048;Monsheim;120,8;5,2
73315005030;Gau-Bickelheim;120,9;5,2
73315006056;Partenheim;122,5;5,2
73315006064;Udenheim;121,1;5,2
73315006068;Wallertheim;122;5,2
73315007006;Bechtheim;119,7;5,2
73315007071;Westhofen;126,4;5,2
73325001039;Niederkirchen bei Deidesheim;120,1;5,2
73325002050;Weisenheim am Sand;121,1;5,2
73325005034;Lindenberg (Landkreis Bad Dürkheim);114,6;5,2
73325006013;Ellerstadt;125,8;5,2
73325007001;Altleiningen;121,1;5,2
73325007006;Bockenheim an der Weinstraße;118,8;5,2
73325007023;Großkarlbach;130,3;5,2
73325007030;Kirchheim an der Weinstraße;119,9;5,2
73325007031;Kleinkarlbach;120,2;5,2
73325007036;Mertesheim;129,1;5,2
73325007041;Obrigheim (Pfalz);122,9;5,2
73335002038;Kerzenheim;119,2;5,2
73335004022;Gauersheim;116,3;5,2
73335004045;Marnheim;122,7;5,2
73335006042;Lohnsfeld;126,3;5,2
73335006048;Münchweiler an der Alsenz;117;5,2
73335006503;Winnweiler;122,3;5,2
73335007003;Alsenz;111,4;5,2
73345004020;Minfeld;125,5;5,2
73355002004;Enkenbach-Alsenborn;121,2;5,2
73355010017;Katzweiler;125,1;5,2
73365010021;Elzweiler;116,6;5,2
73375001001;Albersweiler;116,7;5,2
73375001017;Dernbach (Landkreis Südliche Weinstraße);119,2;5,2
73375001078;Völkersweiler;125;5,2
73375001081;Waldrohrbach;113;5,2
73375002019;Dörrenbach;117,9;5,2
73375002049;Klingenmünster;125,7;5,2
73375002062;Pleisweiler-Oberhofen;122,8;5,2
73375003015;Burrweiler;118,4;5,2
73375003066;Rhodt unter Rietburg;120,6;5,2
73375004044;Insheim;123,5;5,2
73375005007;Billigheim-Ingenheim;119,5;5,2
73375005009;Birkweiler;120,2;5,2
73375006047;Kirrweiler (Pfalz);121,6;5,2
73385006009;Großniedesheim;125,3;5,2
73385006012;Heßheim;121,4;5,2
73385006013;Heuchelheim bei Frankenthal;123,4;5,2
73385008021;Otterstadt;126,5;5,2
73395001063;Weiler bei Bingen;121,1;5,2
73395006031;Jugenheim in Rheinhessen;123,8;5,2
73395006054;Sörgenloch;129;5,2
73395007025;Hahnheim;121,2;5,2
73395008050;Sankt Johann (Landkreis Mainz-Bingen);121,5;5,2
73395008068;Zotzenheim;121,5;5,2
73405001045;Schönau (Pfalz);111,5;5,2
73405006054;Waldfischbach-Burgalben;117,3;5,2
73405009051;Thaleischweiler-Fröschen;113,3;5,2
81175007035;Mühlhausen im Täle;117,9;5,2
81175008011;Börtlingen;119,2;5,2
81255004047;Ittlingen;121,1;5,2
81255007084;Roigheim;111,6;5,2
81255007103;Widdern, Stadt;117,6;5,2
81255010081;Pfaffenhofen;116,2;5,2
81275003102;Fichtenau;115,5;5,2
81275004032;Gerabronn, Stadt;113,4;5,2
81275004047;Langenburg, Stadt;115,3;5,2
81275007013;Bühlerzell;118,3;5,2
81275008091;Wallhausen (Landkreis Schwäbisch Hall);115,9;5,2
81280064064;Külsheim, Stadt;116,4;5,2
81285002014;Boxberg, Stadt;116,4;5,2
81355003031;Sontheim an der Brenz;116,2;5,2
81360027027;Gschwend;115,7;5,2
81365003089;Rainau;119,3;5,2
81365006029;Heuchlingen;119,9;5,2
82155004111;Dettenheim;122,8;5,2
82255006064;Neckargerach;115,5;5,2
82255006118;Waldbrunn (Landkreis Neckar-Odenwald-Kreis);119,2;5,2
82255008009;Billigheim;122,6;5,2
82255009091;Seckach;116,4;5,2
82265002104;Lobbach;120,2;5,2
82265007027;Heddesbach;120,1;5,2
82265009066;Reichartshausen;122,8;5,2
82365001068;Wurmberg;121,3;5,2
82375005032;Grömbach;117,8;5,2
83255003011;Dietingen;121,6;5,2
83255004050;Schenkenzell;116,8;5,2
83255005024;Hardt (Landkreis Rottweil);116,6;5,2
83275002051;Wehingen;114,8;5,2
83275004005;Balgheim;124,3;5,2
83275005012;Durchhausen;119,6;5,2
83275006038;Neuhausen ob Eck;117,8;5,2
83275006055;Seitingen-Oberflacht;121,7;5,2
83355006096;Hohenfels;123,5;5,2
83375002030;Dettighofen;126,2;5,2
84150093093;St. Johann;119,1;5,2
84155003027;Gomadingen;116,3;5,2
84155003048;Mehrstetten;115,3;5,2
84155005028;Grabenstetten;121,1;5,2
84155005039;Hülben;118,6;5,2
84155005088;Römerstein;120,7;5,2
84165003018;Hirrlingen;121;5,2
84175001010;Bitz;112,7;5,2
84175003023;Grosselfingen;123,8;5,2
84175007063;Straßberg;116,1;5,2
84255007084;Nellingen;124,7;5,2
84255008085;Nerenstetten;121,4;5,2
84255008092;Öllingen;118,1;5,2
84255010098;Rechtenstein;118;5,2
84265003038;Eberhardzell;124,9;5,2
84265004019;Berkheim;125,8;5,2
84265004044;Erolzheim;119,9;5,2
84265008117;Tannheim;120,7;5,2
84375001114;Veringenstadt, Stadt;115,2;5,2
84375004118;Wald (Landkreis Sigmaringen);125,3;5,2
84375005044;Herbertingen;118,7;5,2
84375006005;Beuron;117,5;5,2
84375006065;Krauchenwies;120,3;5,2
84375006105;Sigmaringendorf;116,1;5,2
91710131131;Teising;118,5;5,2
91710133133;Tüßling, M;119,7;5,2
91710137137;Winhöring;121;5,2
91715106121;Kastl (Landkreis Altötting);124,8;5,2
91720134134;Teisendorf, M;121,1;5,2
91730131131;Jachenau;114,1;5,2
91755112112;Aßling;125,8;5,2
91775121142;Walpertskirchen;124,1;5,2
91775124134;Ottenhofen;123,5;5,2
91780116116;Au i.d.Hallertau, M;123,4;5,2
91785130156;Wolfersdorf;124,7;5,2
91790117117;Egenhofen;125,2;5,2
91795131111;Adelshofen (Landkreis Fürstenfeldbruck);125,4;5,2
91795131130;Jesenwang;121,5;5,2
91795131132;Landsberied;122,5;5,2
91795132131;Kottgeisering;127,1;5,2
91815138121;Fuchstal;129;5,2
91815139126;Hurlach;121,3;5,2
91815140138;Scheuring;122,7;5,2
91815141140;Schwifting;124,8;5,2
91815141141;Pürgen;124,5;5,2
91815144120;Finning;127,8;5,2
91830113113;Aschau a.Inn;120,7;5,2
91835149129;Neumarkt-Sankt Veit, St;117;5,2
91850150150;Oberhausen (Landkreis Neuburg-Schrobenhausen);124,3;5,2
91860146146;Reichertshausen;124,6;5,2
91860151151;Scheyern;124,7;5,2
91860162162;Wolnzach, M;124,9;5,2
91865156122;Geisenfeld, St;122,5;5,2
91865157126;Hettenshausen;127,8;5,2
91875162145;Höslwang;127,6;5,2
91875162173;Schonstett;125;5,2
91890152152;Tittmoning, St;121,3;5,2
91895170137;Pittenhart;127,4;5,2
91900158158;Wessobrunn;127,4;5,2
91905174151;Schwabsoien;124,3;5,2
91905176126;Habach;130,5;5,2
91905177135;Oberhausen (Landkreis Weilheim-Schongau);127,8;5,2
91905178117;Böbing;120,7;5,2
92710122122;Grafling;124,1;5,2
92715206149;Schöllnach, M;121,5;5,2
92720146146;Neuschönau;119,2;5,2
92725212139;Philippsreut;124,6;5,2
92740128128;Essenbach, M;119,7;5,2
92740153153;Neufahrn i.NB;116;5,2
92750128128;Hutthurm, M;122,7;5,2
92750135135;Neukirchen vorm Wald;121,9;5,2
92750144144;Ruderting;121,5;5,2
92750145145;Ruhstorf a.d.Rott, M;123,5;5,2
92750151151;Tiefenbach (Landkreis Passau);126,5;5,2
92760134134;Patersdorf;116,7;5,2
92765238123;Gotteszell;119,9;5,2
92765238146;Zachenberg;124,3;5,2
92790126126;Marklkofen;125;5,2
93710146146;Rieden, M;118;5,2
93715303140;Etzelwang;119,7;5,2
93720144144;Neukirchen b.Hl.Blut, M;116,7;5,2
93720171171;Waldmünchen, St;116,9;5,2
93720177177;Zandt;123,8;5,2
93720178178;Lohberg;116,7;5,2
93725313149;Reichenbach (Landkreis Cham);124,9;5,2
93740118118;Eslarn, M;115,7;5,2
93740121121;Floß, M;114,5;5,2
93740164164;Waidhaus, M;112,2;5,2
93745325119;Etzenricht;110,4;5,2
93745327117;Eschenbach i.d.OPf., St;113,2;5,2
93745329146;Pirk;115,8;5,2
93745331147;Pleystein, St;113,9;5,2
93750209209;Wiesent;122,4;5,2
93760150150;Wernberg-Köblitz, M;115,7;5,2
93760151151;Oberviechtach, St;114,7;5,2
93765343153;Pfreimd, St;118;5,2
93765346168;Steinberg am See;117;5,2
93770119119;Fuchsmühl, M;109,1;5,2
93770127127;Immenreuth;114,3;5,2
93775349115;Ebnath;114,1;5,2
94710155155;Litzendorf;118;5,2
94710220220;Schlüsselfeld, St;117,7;5,2
94715401115;Baunach, St;115,2;5,2
94715445154;Lisberg;120,1;5,2
94715445173;Priesendorf;120,5;5,2
94720131131;Eckersdorf;118,1;5,2
94720143143;Goldkronach, St;116,5;5,2
94725414140;Gesees;118,2;5,2
94725414155;Hummeltal;119,3;5,2
94725416127;Creußen, St;113,9;5,2
94735418153;Niederfüllbach;112,8;5,2
94740129129;Gößweinstein, M;116,1;5,2
94740134134;Hausen (Landkreis Forchheim);119,8;5,2
94740135135;Heroldsbach;119,4;5,2
94740154154;Neunkirchen a.Brand, M;122,4;5,2
94745427173;Weißenohe;116,8;5,2
94750142142;Konradsreuth;112,2;5,2
94750169169;Schwarzenbach a.Wald, St;104,7;5,2
94755430123;Feilitzsch;113,4;5,2
94755430127;Gattendorf;118,9;5,2
94755430181;Töpen;112,8;5,2
94755432174;Sparneck, M;110,9;5,2
94760146146;Küps, M;112,2;5,2
94760184184;Wallenfels, St;109,6;5,2
94795442158;Thiersheim, M;109;5,2
94795442159;Thierstein, M;113,7;5,2
94795443127;Hohenberg a.d.Eger, St;108,2;5,2
94795444161;Tröstau;111;5,2
95710115115;Bechhofen, M;115,6;5,2
95710135135;Dietenhofen, M;118,6;5,2
95710177177;Merkendorf, St;118,1;5,2
95710190190;Petersaurach;118,5;5,2
95715506216;Weidenbach, M;116,4;5,2
95715538229;Wolframs-Eschenbach, St;122,3;5,2
95735540123;Obermichelbach;129,5;5,2
95735540129;Tuchenbach;131,5;5,2
95745527129;Hartenstein;112,3;5,2
95745527161;Vorra;121,4;5,2
95750121121;Emskirchen, M;121,7;5,2
95755518161;Scheinfeld, St;117;5,2
95755520181;Wilhelmsdorf (LK Neustadt a.d.Aisch-Bad Windsheim);123,1;5,2
95755522167;Uehlfeld, M;121;5,2
95760111111;Abenberg, St;120,6;5,2
95760121121;Georgensgmünd;118,7;5,2
95760127127;Hilpoltstein, St;120,6;5,2
95760147147;Spalt, St;117;5,2
95775534125;Ellingen, St;118,3;5,2
96710148148;Rothenbuch;121,5;5,2
96715603127;Heimbuchenthal;118,2;5,2
96715604113;Blankenbach;117,1;5,2
96720140140;Oerlenbach;115,4;5,2
96725609131;Maßbach, M;114,9;5,2
96730162162;Sandberg;116,3;5,2
96735633142;Mellrichstadt, St;112,3;5,2
96735635146;Niederlauer;118,7;5,2
96735639153;Ostheim v.d.Rhön, St;112,3;5,2
96740163163;Knetzgau;118,7;5,2
96745611130;Ebern, St;112,8;5,2
96750165165;Schwarzach a.Main, M;119,4;5,2
96755616161;Rödelsee;124,4;5,2
96755617170;Sulzfeld a.Main;116,4;5,2
96755618156;Obernbreit, M;116;5,2
96755619155;Nordheim a.Main;120;5,2
96760117117;Collenberg;113,4;5,2
96760118118;Dorfprozelten;114,8;5,2
96760124124;Faulbach;114,9;5,2
96760131131;Kirchzell, M;118,7;5,2
96760136136;Leidersbach;124,6;5,2
96765631141;Mönchberg, M;113,2;5,2
96770177177;Rieneck, St;112,9;5,2
96775621120;Bischbrunn;119,5;5,2
96775621193;Urspringen;126,7;5,2
96775622159;Mittelsinn;114,4;5,2
96780123123;Dittelbrunn;117,3;5,2
96780128128;Euerbach;116,3;5,2
96780138138;Grettstadt;121,1;5,2
96785642157;Michelau i.Steigerwald;127,9;5,2
96790176176;Reichenberg, M;117,2;5,2
96790201201;Unterpleichfeld;122,6;5,2
